ticker,Расширение,Ложный пробой,Колено,2xEXTR,Не на уровне,От плотности,Контр тренд,Треугольник,50%,Datetime,PNL,filenames
ETH,0,1,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_822ab852798c5b281e7c2ba721819544.png', 'ETH_3_556e90e29930384c927186806d83fbb0.png']"
ETH,0,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_9ff9bd99aecdedbc27c50c9c3e9653ea.png', 'ETH_3_7fcad26107eddea87f02676291a7e681.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_c2ad356069fe295e21e2e4ee7d07ba4a.png', 'ETH_3_3e69ab00aa282ac3ad8a2391cf449384.png']"
ETH,1,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_6bf671d1fec069f5b13585390dcc3889.png', 'ETH_3_688b92feadcdfd3ace99ff2579cfa69d.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_f5ed3c6334b31a1b545f5c62050106a8.png', 'ETH_3_ef7261099e06b53acfe146fe7f4c5e78.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_1da68f6c4a9c2203baf251fb8b4b3cf2.png', 'ETH_3_9d9a601dcf7996f75a057ba94542867e.png']"
ETH,0,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_ab12b88301955700bdca8474f74c2592.png', 'ETH_3_ba2469602f9278f1cffb3009493c581d.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_e75df04abd35d07458661714e20e19cc.png', 'ETH_3_2e82295d7fc305a790a1009394aafbb3.png']"
ETH,0,1,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_4fa4e8d6a73d557170d2766e50eb5e4d.png', 'ETH_3_827847c1fb0666fe796b94c60f4b59ad.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_5bddd3490feceb9d288fc739c60bbf6a.png', 'ETH_3_7bdb751f06c4b718ae8323e888661b05.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_643ecdf5d5c142370875824ab83c31d9.png', 'ETH_3_82fb02090cfed94a5706eff927e13cc7.png']"
ETH,0,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_092a18a2dd8ee685f1a7857dd55a56bd.png', 'ETH_3_b2deb0dc47b82b355ad6ea7783af0016.png']"
ETH,1,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_8fcc13209860daf825c06ed7cd8c9f50.png', 'ETH_3_da0bb93c70884257c7231e6167c6c82f.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_85bf053359a11a7d8e0759cc969430d5.png', 'ETH_3_8ae18b39c0bf0f22f7465b4cb30cb7ae.png']"
ETH,0,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_69914f0efb61311203d12280e704a9ab.png', 'ETH_3_167511f4961a67df21682c7e39fb28bb.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_4d41b0f0315c159edf8c3d7f65efe328.png', 'ETH_3_703e04fc10681f6ac8f42ebc3b726f75.png']"
ETH,1,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_b90af5cf784874530304e94aa114d3c5.png', 'ETH_3_176ed661e588e905fc69c46de3a800d4.png']"
ETH,0,0,-1,-1,0,1,0,0,1,-1,NA,"['ETH_15_1d75b37441a78387aefdb52f016435fc.png', 'ETH_3_bf42797fa403bb6b6d631cfa35158577.png']"
ETH,1,0,-1,-1,0,1,0,0,1,-1,NA,"['ETH_15_a41324177b9263856a87642c1f0f947f.png', 'ETH_3_bc1830f0903f60c86c90f70a733e0df9.png']"
ETH,1,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_07dc3208e1d2b6d4f845620c51a29dc4.png', 'ETH_3_b51723d3a980a3125c40db30dcd32d87.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_7da3b62adef3e9fb853643ec46ac0c4b.png', 'ETH_3_ca2cc619324a99643b63ada3c0df07fb.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_1cdb363b3a26a6641d57d408dbb2856d.png', 'ETH_3_a67b38faa4971cf4f791ae9c21e0ba2d.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_f0fdc33343275ca4170b013a5738da08.png', 'ETH_3_cb479677f9f445870336d8999fbd9461.png']"
ETH,0,0,-1,-1,0,1,1,0,0,-1,NA,"['ETH_15_362df4e285c87e3523345951db49b225.png', 'ETH_3_79fae46bb494e0a895ba4d0cc940ad8d.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_5e4184ad85bf201b36453f21ddb0eee7.png', 'ETH_3_aaec44c1f924e771a1d80cd1d61fb1ef.png']"
ETH,0,0,-1,-1,0,1,0,1,0,-1,NA,"['ETH_15_7fa17fad5939f4c12d77f822245b9c86.png', 'ETH_3_86104d1227c2e4af8e3b3b3e97fd58ff.png']"
ETH,1,0,-1,-1,0,1,0,0,1,-1,NA,"['ETH_15_34e4cbbbc40ba1f20cb6769ef870ef0f.png', 'ETH_3_eefa2e89abba613b5eef3e007e0cec92.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_f804b75b898f4a340ee79dd5c4a9f640.png', 'ETH_3_6d1c8bbe7d8f8421e90ef72d95fa6082.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_5930ae82d1c9663e9ace9cea72ca616b.png', 'ETH_3_6a077d06d74d75e5747925f1808d913f.png']"
